Item,Quantity Purchased,Unit Cost pre Cargo,Carriage,Unit Cost,Quantity Left,Total Cost,Cycle,Date,Category,Lot ID,Purchase Date
  INFI A50C ,40,,,466.86,0,,,,WD,1,10/14/25
 1+9RT ,20,,,696.63,10,,,,WD,1,10/14/25
 1+NORD 3 ,50,,,946.1,45,,,,WD,1,10/14/25
 A53/A54 ,300,,,440.6,185,,,,WD,1,10/14/25
 A5S  ,300,,,424.84,110,,,,WD,1,10/14/25
 C3 ,300,,,424.84,49,,,,WD,1,10/14/25
 F11 ,50,,,440.6,27,,,,WD,1,10/14/25
 F7 ,50,,,447.16,45,,,,WD,1,10/14/25
 F9 ,300,,,427.47,182,,,,WD,1,10/14/25
 G13 ,20,,,479.99,0,,,,WD,1,10/14/25
 G14 ,20,,,532.51,3,,,,WD,1,10/14/25
 G60 ,40,,,539.07,23,,,,WD,1,10/14/25
 G62 ,20,,,539.07,12,,,,WD,1,10/14/25
 GIONEE MAX ,40,,,525.94,37,,,,WD,1,10/14/25
 IN1B/LAVA Z2 ,100,,,479.99,82,,,,WD,1,10/14/25
 K20 ,30,,,604.72,25,,,,WD,1,10/14/25
 KC1 ,30,,,427.47,17,,,,WD,1,10/14/25
 KF8 ,50,,,466.86,0,,,,WD,1,10/14/25
 LAVA BLAZE ,40,,,499.68,27,,,,WD,1,10/14/25
 LAVA BLAZE 5G ,40,,,525.94,30,,,,WD,1,10/14/25
 MAX M1 ,50,,,486.55,43,,,,WD,1,10/14/25
 MAX PRO M1 ,50,,,512.81,32,,,,WD,1,10/14/25
 MI 11X ,20,,,604.72,10,,,,WD,1,10/14/25
 MI 5X/A1OLD ,100,,,407.77,63,,,,WD,1,10/14/25
 MI 6 PRO ,60,,,506.25,42,,,,WD,1,10/14/25
 MI 6X ,60,,,420.9,45,,,,WD,1,10/14/25
 MI 7 ,300,,,453.73,180,,,,WD,1,10/14/25
 MI 7A ,100,,,381.51,5,,,,WD,1,10/14/25
 MI A3 OLD ,50,,,512.81,30,,,,WD,1,10/14/25
 MI A5 NEW ,50,,,512.81,47,,,,WD,1,10/14/25
 NARZO 30 PRO ,30,,,506.25,25,,,,WD,1,10/14/25
 NT 13 5G ,50,,,578.46,44,,,,WD,1,10/14/25
 NT 8 ,150,,,427.47,124,,,,WD,1,10/14/25
 NT 9 ,100,,,453.73,47,,,,WD,1,10/14/25
 OP A71 ,100,,,394.64,59,,,,WD,1,10/14/25
 OP C31 ,50,,,440.6,35,,,,WD,1,10/14/25
 POCO F1 ,60,,,499.68,56,,,,WD,1,10/14/25
 POCO X2 ,30,,,617.85,28,,,,WD,1,10/14/25
 RENO 3 PRO ,50,,,650.68,48,,,,WD,1,10/14/25
 RENO 7 PRO ,20,,,683.5,10,,,,WD,1,10/14/25
 RM 10 PRO ,50,,,519.38,50,,,,WD,1,10/14/25
 RM 12 5G ,100,,,512.81,61,,,,WD,1,10/14/25
 RM 12 PLUS ,50,,,683.5,36,,,,WD,1,10/14/25
 RM 6 PRO ,20,,,736.02,15,,,,WD,1,10/14/25
 RM 9 PRO ,100,,,512.81,20,,,,WD,1,10/14/25
 RM 9I 5G ,50,,,539.07,35,,,,WD,1,10/14/25
 RM X ,100,,,604.72,58,,,,WD,1,10/14/25
 RM X2 PRO ,20,,,709.76,16,,,,WD,1,10/14/25
 T3X ,100,,,519.38,88,,,,WD,1,10/14/25
 V11 ,50,,,447.16,19,,,,WD,1,10/14/25
 V11 PRO ,100,,,519.38,80,,,,WD,1,10/14/25
 V15 ,50,,,493.12,27,,,,WD,1,10/14/25
 V17 ,30,,,585.03,25,,,,WD,1,10/14/25
 V17 PRO ,30,,,598.16,29,,,,WD,1,10/14/25
 V20 PRO ,20,,,637.55,16,,,,WD,1,10/14/25
 V21 5G ,100,,,545.64,53,,,,WD,1,10/14/25
 V23 5G ,50,,,630.98,34,,,,WD,1,10/14/25
 VISION 1 ,50,,,453.73,42,,,,WD,1,10/14/25
 X6525 ,100,,,473.42,81,,,,WD,1,10/14/25
 X662 ,60,,,453.73,59,,,,WD,1,10/14/25
 X663 ,200,,,552.2,167,,,,WD,1,10/14/25
 X666 ,40,,,565.33,32,,,,WD,1,10/14/25
 X6720 ,100,,,499.68,93,,,,WD,1,10/14/25
 X675 ,50,,,519.38,49,,,,WD,1,10/14/25
 X6831 ,100,,,545.64,67,,,,WD,1,10/14/25
 Y03 ,50,,,466.86,1,,,,WD,1,10/14/25
 Y19 ,50,,,440.6,30,,,,WD,1,10/14/25
 Y200 5G ,50,,,624.42,27,,,,WD,1,10/14/25
 Y29/Y39 5G ,50,,,499.68,42,,,,WD,1,10/14/25
 Y83 ,100,,,420.9,39,,,,WD,1,10/14/25
 YUVA 2 PRO ,30,,,512.81,30,,,,WD,1,10/14/25
A57 OLD,100,,,388.08,59,,,,WD,1,10/14/25
C20,600,,,434.03,0,,,,Crown,1,10/14/25
C63,300,,,473.42,37,,,,Crown,1,10/14/25
INF KE5/X657 CRN,1500,378.0,26.0,404.0,1059,606464.04,1.0,25-Aug,Crown,1,8/25/25
INF X6515/X6517 CRN,900,390.6,26.0,416.6,471,374940.0,1.0,25-Aug,Crown,1,8/25/25
INF X6515/X6517 CRN,600,,,434.03,0,,,,Crown,2,10/14/25
LC7,600,,,499.68,508,,,,Crown,1,10/14/25
MI 12,300,,,565.33,50,,,,Crown,1,10/14/25
MI 14C,300,,,499.68,120,,,,Crown,1,10/14/25
MI 9 POWER/POCO M3 CRN,1500,413.28,26.0,439.28,259,658920.0,1.0,25-Aug,Crown,1,8/25/25
