Date,Item,Quantity Purchased,Purchase Price,Cycle,Note,Vendor
2025-08-01,MI9A CRN,1200,416.6,1,(from inventory),
2025-08-01,REA C3/A11X CRN,900,409.04,1,(from inventory),
2025-08-01,OP A3S/A5 CRN,900,407.78,1,(from inventory),
2025-08-01,MI 9 POWER/POCO M3 CRN,1500,439.28,1,(from inventory),
2025-08-01,MI9 PRIME/POCO M2 CRN,600,439.28,1,(from inventory),
2025-08-01,INF KE5/X657 CRN,1500,404.0,1,(from inventory),
2025-08-01,MIA3 NEW/C71,300,467.0,1,(from inventory),
2025-08-01,INF X6515/X6517 CRN,900,416.6,1,(from inventory),
2025-08-01,VV Y20/Y21 CRN,1200,409.04,1,(from inventory),
2025-08-01,VV Y22S CRN,600,441.8,1,(from inventory),
2025-08-01,VV Y12/Y3 CRN,900,435.5,1,(from inventory),
2025-08-01,X680,50,494.0,1,(from inventory),
2025-08-01,VV Y20/Y21 CRN(Delhi),600,435.0,1,(from inventory),
